============================================================
Quench simulation started: 2026-07-03T11:25:36.815
N_sites = 200, T_max = 10.0, dt = 0.05, bond_dim = 1500
Pre-quench parameters: v=1.0, w=1.0, Δ=0.0, V=0.5
Post-quench parameters: v=1.0, w=1.0, Δ=0.0, V=1.0
============================================================
Preparing interacting ground state (t < 0)...
Initial Ground State Energy: -162.59723088758437 (DMRG took 76.05 seconds)
Initial max bond dimension: 166
Constructing TEBD gates for quench...
Starting time evolution...
t = 6.25, S_EE = 1.28, F = 0.2882, χ = 1469 / 1500, step_time = 139.431 s, elapsed_time = 6170.2509 s, estimated_remaining_time = 3672.7684 s
t = 6.3, S_EE = 1.2814, F = 0.2882, χ = 1500 / 1500, step_time = 145.7939 s, elapsed_time = 6478.6195 s, estimated_remaining_time = 3774.9436 s
Warning: Maximum bond dimension reached at t = 6.3. Consider increasing bond_dim.
t = 6.35, S_EE = 1.2828, F = 0.2882, χ = 1500 / 1500, step_time = 148.6139 s, elapsed_time = 6794.4739 s, estimated_remaining_time = 3874.9734 s
Warning: Maximum bond dimension reached at t = 6.35. Consider increasing bond_dim.
t = 6.4, S_EE = 1.2842, F = 0.2882, χ = 1500 / 1500, step_time = 153.6464 s, elapsed_time = 7122.2625 s, estimated_remaining_time = 3975.2163 s
Warning: Maximum bond dimension reached at t = 6.4. Consider increasing bond_dim.
t = 6.45, S_EE = 1.2856, F = 0.2882, χ = 1500 / 1500, step_time = 159.4042 s, elapsed_time = 7461.4553 s, estimated_remaining_time = 4075.1025 s
Warning: Maximum bond dimension reached at t = 6.45. Consider increasing bond_dim.
t = 6.5, S_EE = 1.287, F = 0.2882, χ = 1500 / 1500, step_time = 169.0029 s, elapsed_time = 7814.3817 s, estimated_remaining_time = 4175.6238 s
Warning: Maximum bond dimension reached at t = 6.5. Consider increasing bond_dim.
t = 6.55, S_EE = 1.2884, F = 0.2881, χ = 1500 / 1500, step_time = 188.4712 s, elapsed_time = 8197.3044 s, estimated_remaining_time = 4284.9546 s
Warning: Maximum bond dimension reached at t = 6.55. Consider increasing bond_dim.
